Personagem,Fala
Abyssal_Lord_Drogoz_voice_lines,"  ""They will pay."""
Abyssal_Lord_Drogoz_voice_lines,"  ""All of you are beneath me."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Watch as I put you in your place."""
Abyssal_Lord_Drogoz_voice_lines,"  ""The Abyss knows no bounds."""
Abyssal_Lord_Drogoz_voice_lines,"  ""I will use this for great power."""
Abyssal_Lord_Drogoz_voice_lines,"  ""This will do."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Behind!"""
Abyssal_Lord_Drogoz_voice_lines,"  ""They're behind!"""
Abyssal_Lord_Drogoz_voice_lines,"  ""Above!"""
Abyssal_Lord_Drogoz_voice_lines,"  ""Sniping coward!"""
Abyssal_Lord_Drogoz_voice_lines,"  ""Sniper!"""
Abyssal_Lord_Drogoz_voice_lines,"  ""Heal me."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Heal me, now."""
Abyssal_Lord_Drogoz_voice_lines," ""Your end is near."""
Abyssal_Lord_Drogoz_voice_lines," ""Climb faster, rats!"""
Abyssal_Lord_Drogoz_voice_lines," ""Surrender to the Abyss."""
Abyssal_Lord_Drogoz_voice_lines," ""Your world will crumble."""
Abyssal_Lord_Drogoz_voice_lines," ""Your end is near."""
Abyssal_Lord_Drogoz_voice_lines," ""You WASTE my time."""
Abyssal_Lord_Drogoz_voice_lines," ""You waste my time."""
Abyssal_Lord_Drogoz_voice_lines," ""SURRENDER to the Abyss."""
Abyssal_Lord_Drogoz_voice_lines," ""Climb faster rats!."""
Abyssal_Lord_Drogoz_voice_lines," ""Your feeble legs fail you."""
Abyssal_Lord_Drogoz_voice_lines," ""Hide mortals."""
Abyssal_Lord_Drogoz_voice_lines," ""Run away, little girl."""
Abyssal_Lord_Drogoz_voice_lines," ""Fight now mortals, Kill. Kill."""
Abyssal_Lord_Drogoz_voice_lines," ""The Abyss... claims you."""
Abyssal_Lord_Drogoz_voice_lines," ""WHAT?"""
Abyssal_Lord_Drogoz_voice_lines," ""Hu-HA HA HA HA HA HA HA HA."""
Abyssal_Lord_Drogoz_voice_lines," ""Ascend the tower mortals, your soul depends on it. Hu-HA HA HA HA HA HA HA HA."""
Abyssal_Lord_Drogoz_voice_lines," ""ASCEND the tower mortals... your soul depends on it. Hu-HA HA HA HA HA HA HA HA."""
Abyssal_Lord_Drogoz_voice_lines," ""Cower."""
Abyssal_Lord_Drogoz_voice_lines," ""Your feeble legs fail you."""
Abyssal_Lord_Drogoz_voice_lines," ""Run away little girl."""
Abyssal_Lord_Drogoz_voice_lines," ""Hide, mortals."""
Abyssal_Lord_Drogoz_voice_lines," ""Cower."""
Abyssal_Lord_Drogoz_voice_lines," ""The Abyss claims you."""
Abyssal_Lord_Drogoz_voice_lines," ""What?"""
Abyssal_Lord_Drogoz_voice_lines," ""You dare enter the abyss?"""
Abyssal_Lord_Drogoz_voice_lines," ""YOU DARE ENTER THE ABYSS?"""
Abyssal_Lord_Drogoz_voice_lines," ""You belong to the Abyss."""
Abyssal_Lord_Drogoz_voice_lines," ""You DARE enter the abyss?"""
Abyssal_Lord_Drogoz_voice_lines," ""You belong to the ABYSS."""
Academic_Skye_voice_lines," ""Skye."""
Academic_Skye_voice_lines," ""Okay, It's class time everyone, pay attention."""
Academic_Skye_voice_lines," ""Did everybody do their homework?"""
Academic_Skye_voice_lines," ""Maybe I should get a car."""
Academic_Skye_voice_lines," ""Horses are cool, I guess."""
Academic_Skye_voice_lines," ""I'm out!"""
Academic_Skye_voice_lines," ""See ya!"""
Academic_Skye_voice_lines," ""Time's ticking!"" (enemy/self)"
Academic_Skye_voice_lines," ""An educated choice."""
Academic_Skye_voice_lines," ""Nuh-uh."""
Academic_Skye_voice_lines," ""Can't."""
Academic_Skye_voice_lines," ""Hey! What are you doing?"""
Academic_Skye_voice_lines," ""That's totally inappropriate."""
Academic_Skye_voice_lines," ""Ugh. Pop quiz."""
Academic_Skye_voice_lines," ""Ugh... The principal will hear about this."""
Academic_Skye_voice_lines," ""Huh. Effortless."""
Academic_Skye_voice_lines," ""Hah, finished my homework! No problem."""
Academic_Skye_voice_lines," ""Oh yeah! Extra credit."""
Academic_Skye_voice_lines," ""A+! Aced it."""
Academic_Skye_voice_lines," ""Shouldn't you be in school?"" (Talus)"
Academic_Skye_voice_lines," ""Don't forget to do your homework!"" (Talus)"
Academic_Skye_voice_lines," ""You may have class, but you don't have good attendance. (Lian)"
Academic_Skye_voice_lines," ""Nobody likes the rich girl. (Lian)"
Academic_Skye_voice_lines," ""The key to groupwork is communication!"""
Academic_Skye_voice_lines," ""I told you we could do it!"""
Academic_Skye_voice_lines," ""They're on the point!"""
Academic_Skye_voice_lines," ""Enemies on the objective!"""
Academic_Skye_voice_lines," ""I am honored to be named Realm High Valedictorian. Thank you all for your support."""
Academic_Skye_voice_lines," ""This play is a great addition to my portfolio."""
Academic_Skye_voice_lines," ""Schools out! I think I'll go to my part-time job today."""
Academic_Skye_voice_lines," ""I'm pretty sure I aced that test."""
Academic_Skye_voice_lines," ""Uh... what? I wasn't ready."""
Academic_Skye_voice_lines," ""Ugh. I hate this class. It's not fair."""
Academic_Skye_voice_lines," ""Now, what did you learn?"""
Academic_Skye_voice_lines," ""You haven't been studying, have you?"""
Academic_Skye_voice_lines," ""Smart move."""
Academic_Skye_voice_lines," ""Are you interested in joining the student council?"" (Cassie)"
Academic_Skye_voice_lines," ""Hey! No birds in school."" (Cassie)"
Academic_Skye_voice_lines," ""Why is six afraid of seven? *Laughs* Because seven eight nine. Aha!"""
Academic_Skye_voice_lines," ""How many students does it take to screw in a lightbulb? Just me, because I'm the brightest."""
Academic_Skye_voice_lines," ""Makoa ate your homework? Right..."""
Academic_Skye_voice_lines," ""Hahahahaha!"""
Academic_Skye_voice_lines," ""Hahahahaha!"""
Academic_Skye_voice_lines," ""HoHahhahahaha."""
Academic_Skye_voice_lines," ""Schools about to start! Good thing I'm always on time."""
Academic_Skye_voice_lines,"  ""Hey! Pay... attention!"""
Academic_Skye_voice_lines,"  ""No snoozing in class!"""
Academic_Skye_voice_lines," ""What would you like me to tutor you in?"""
Academic_Skye_voice_lines," ""Oh, cool!"""
Academic_Skye_voice_lines," ""It matches my book pack!"""
Academic_Skye_voice_lines,"  ""They're behind us!"""
Academic_Skye_voice_lines,"  ""Watch your back!"""
Academic_Skye_voice_lines,"  ""Above us!"""
Academic_Skye_voice_lines,"  ""Enemies above us!"""
Academic_Skye_voice_lines,"  ""Sniper!"""
Academic_Skye_voice_lines,"  ""Heads down!"""
Academic_Skye_voice_lines,"  ""Heal me!"""
Academic_Skye_voice_lines,"  ""I'm hurt!"""
Academic_Skye_voice_lines," ""Just another day."""
Academic_Skye_voice_lines," ""Nothing can stop me... except for inclement weather."""
Academic_Skye_voice_lines," ""Attack the Siege Engine!"""
Academic_Skye_voice_lines," ""Defend the Siege Engine!"""
Academic_Skye_voice_lines," ""Out of Mana!"""
Akuma_Makoa_voice_lines,"  ""Makoa."""
Akuma_Makoa_voice_lines,"  ""I've conquered darkness and enslaved it."""
Akuma_Makoa_voice_lines,"  ""I hunger for battle, for blood... for death."""
Akuma_Makoa_voice_lines,"  ""Move, beast."""
Akuma_Makoa_voice_lines,"  ""Come, weakling."""
Akuma_Makoa_voice_lines,"  ""You're mine."""
Akuma_Makoa_voice_lines,"  ""Try and break this."""
Akuma_Makoa_voice_lines,"  ""Bring your best."""
Akuma_Makoa_voice_lines," ""Hahaha."""
Akuma_Makoa_voice_lines," ""Huahahahaha."""
Akuma_Makoa_voice_lines,"  ""You challenge Makoa?"" (enemy/self)"
Akuma_Makoa_voice_lines,"  ""I will not be stopped!"" (ally)"
Akuma_Makoa_voice_lines,"  ""Finally!"""
Akuma_Makoa_voice_lines,"  ""YES."""
Akuma_Makoa_voice_lines,"  ""NOOO."""
Akuma_Makoa_voice_lines,"  ""Pityful."""
Akuma_Makoa_voice_lines,"  ""How."" (Koga)"
Akuma_Makoa_voice_lines,"  ""Trickery."" (Mal'Damba)"
Akuma_Makoa_voice_lines,"  ""Death for the weak."""
Akuma_Makoa_voice_lines,"  ""Pathetic."""
Akuma_Makoa_voice_lines,"  ""Not even a warmup."""
Akuma_Makoa_voice_lines,"  ""Where are the strong ones?"""
Akuma_Makoa_voice_lines,"  ""YOU are not worth my effort."" (Koga)"
Akuma_Makoa_voice_lines,"  ""Let's fight, snake charmer."" (Mal'Damba)"
Akuma_Makoa_voice_lines,"  ""Bring your best... next time."""
Akuma_Makoa_voice_lines,"  ""Cowards, where are your spirits?"""
Akuma_Makoa_voice_lines,"  ""We fight on the point."""
Akuma_Makoa_voice_lines,"  ""I shall crush you on the point."""
Akuma_Makoa_voice_lines,"  ""Is that all? Are there no worthy challenges?"""
Akuma_Makoa_voice_lines,"  ""Now, you see my true power. I am always the last standing."""
Akuma_Makoa_voice_lines,"  ""Finally, fighters worthy of facing me."""
Akuma_Makoa_voice_lines,"  ""The only honor is death, I will honor you next fight."""
Akuma_Makoa_voice_lines,"   ""Offer up your soul if you wish to fight."""
Akuma_Makoa_voice_lines,"  ""Come at me if you dare, I take on all challenges."""
Akuma_Makoa_voice_lines,"  ""The weak are not worthy of death by my claws."""
Akuma_Makoa_voice_lines,"  ""I didn't fight my way to the top of the food chain to be a vegetarian."""
Akuma_Makoa_voice_lines,"  ""I use my boxing skills sparingly."""
Akuma_Makoa_voice_lines,"  ""How can you kill me if you're already dead?"""
Akuma_Makoa_voice_lines,"  ""Hahahhaaha"""
Akuma_Makoa_voice_lines,"  ""Hahaahaahhaha"""
Akuma_Makoa_voice_lines,"  ""Hahaha ha ha ha"""
Akuma_Makoa_voice_lines,"  ""My name is Makoa, the master of death."""
Akuma_Makoa_voice_lines,"  ""Where is the fight?"""
Akuma_Makoa_voice_lines,"  ""Death cannot stop me."""
Akuma_Makoa_voice_lines,"  ""You all lack the hunger for battle, enjoy your humiliation."""
Akuma_Makoa_voice_lines,"  ""I am the incarnation of death itself."""
Akuma_Makoa_voice_lines,"  ""You have potential. Now, no more talk. I am sick of talking. Train."""
Akuma_Makoa_voice_lines,"  ""They're behind us!"""
Akuma_Makoa_voice_lines,"  ""Enemies behind!"""
Akuma_Makoa_voice_lines,"  ""Above us !"""
Akuma_Makoa_voice_lines,"  ""Enemies Above us !"""
Akuma_Makoa_voice_lines,"  ""Sniper!"""
Akuma_Makoa_voice_lines,"  ""Sniper! get down!"""
Akuma_Makoa_voice_lines,"  ""Heal."""
Akuma_Makoa_voice_lines,"  ""Heal now."""
Ameri-Khan_Khan_voice_lines,"  ""Ameri-Khan."""
Ameri-Khan_Khan_voice_lines,"  ""I come in 3 sizes: Large, Extra Large and Big Daddy.~"""
Ameri-Khan_Khan_voice_lines,"  ""Four score and seven years ago, I WAS BORN TO KICK A** AND GET BABES!"""
Ameri-Khan_Khan_voice_lines,"  ""Try not to collapse little guy!"""
Ameri-Khan_Khan_voice_lines,"  ""For my country!"""
Ameri-Khan_Khan_voice_lines,"  ""NO touching."""
Ameri-Khan_Khan_voice_lines,"  ""Come at me."""
Ameri-Khan_Khan_voice_lines,"  ""FOR FREEDOM!"""
Ameri-Khan_Khan_voice_lines,"  ""OH YEAH!, BABY!"""
Ameri-Khan_Khan_voice_lines,"  ""Looky what I found!"""
Ameri-Khan_Khan_voice_lines,"  ""Come here, let's wrastle!"""
Ameri-Khan_Khan_voice_lines,"  ""You're mine, little man!"" (enemy/self)"
Ameri-Khan_Khan_voice_lines,"  ""You're Outmatched!"" (ally)"
